song names,song genre
Eventually - Tame Impala,"['australian psych', 'modern rock', 'neo-psychedelic', 'rock']"
LARP (feat. Gorillaz) - Uriel Bromberg,[]
hooligan - Baby Keem,"['hip hop', 'rap']"
"Memphis, Pt. 2 - AG Club",['indie hip hop']
Nun id change - Yeat,"['pluggnb', 'rage rap']"
TELEKINESIS (feat. SZA & Future) - Travis Scott,"['hip hop', 'rap', 'slap house']"
RIOT (Rowdy Pipe'n) - A$AP Rocky,"['east coast hip hop', 'hip hop', 'rap', 'trap']"
Nobody's Perfect - J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
No Complaints (feat. Offset & Drake) (Bonus) - Metro Boomin,['rap']
"One Mic, One Gun - Nas","['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop', 'rap']"
Arya (with Nigo) - A$AP Rocky,[]
My wrist (with Young Thug) - Yeat,"['pluggnb', 'rage rap']"
Legacy (feat. Travis Scott & 21 Savage) - Offset,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']"
Pure Cocaine - Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']"
Another Day - Kid Cudi,"['hip hop', 'ohio hip hop', 'pop rap', 'rap']"
Umbrella (with 21 Savage & Young Nudy) - Metro Boomin,['rap']
Bend Ya (feat. Frank Ocean & Kendrick Lamar) - Mann,[]
durag activity (with Travis Scott) - Baby Keem,"['hip hop', 'rap']"
Bank dont close - michiganmadex2,[]
On BS - Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']"
HYAENA - Travis Scott,"['hip hop', 'rap', 'slap house']"
Diet Coke - Pusha T,"['gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'virginia hip hop']"
You Wish (with Missy Elliott & Kaliii) – Remix - Flyana Boss,['trap queen']
Flooded The Face - Lil Uzi Vert,"['hip hop', 'melodic rap', 'philly rap', 'rage rap', 'rap']"
Int'l Players Anthem (I Choose You) (feat. Outkast) - UGK,['dirty south rap']
Bad Ass Jit - Dee Watkins,"['florida drill', 'florida rap']"
For the First Time - Mac DeMarco,"['edmonton indie', 'lo-fi indie', 'pov: indie']"
These Walls - Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']"
Pure Souls - Kanye West,"['chicago rap', 'hip hop', 'rap']"
Brenda's Got A Baby - 2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
"A$AP Forever REMIX (feat. Moby, T.I. & Kid Cudi) - A$AP Rocky","['east coast hip hop', 'hip hop', 'rap', 'trap']"
November Has Come - Gorillaz,"['alternative hip hop', 'modern rock', 'rock']"
